Result Number,Widget,Data Source,Result Row,Source Page URL,Rawdate,Date parsed,Incident site,Jiv date raw,Jiv date parsed,Terrain,Cause,Est spill vol bbl,Cleanup status,Comments,Photo,Photo url,Jiv report,Jiv report url
1,shell_ng_spill_crawler,shell_ng_spill_crawler,1,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,1-Mar-12,1330560000000,36" Rumuekpe - Nkpoku Pipeline at Omuigwe-Aluu,2-Mar-12,1330646400000,Land,Sabotage / Theft,291.3,Recovery of spilled volume commenced on 2nd March 2012 and was completed on 5th March 2012. Initial cleanup of residual impacted area commenced on 23rd April 2012 and was completed on 5th May 2012. Site remediation was completed 7th July 2012.,Site Certification was completed on 29th August 2012.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_Photos.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_Photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_JIV.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/784201_36in_Rumuekpe-Nkpoku_pipeline_at_Omuigwe-Aluu_JIV.pdf">PDF</a>
2,shell_ng_spill_crawler,shell_ng_spill_crawler,2,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,8-Mar-12,1331164800000,24" Nkpoku - Bomu Trunkline at Egballor,9-Mar-12,1331251200000,Land,Sabotage / Theft,0.2,No recoverable oil was found on site.,JIV recommends no cleanup action required. Closed. Site Certification was completed on 3rd May 2012.,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_Photos.pdf,<a target="_blank" href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787065_24in_Nkpoku-Bomu_pipeline_at_Egballor_JIV.pdf">PDF</a>
3,shell_ng_spill_crawler,shell_ng_spill_crawler,3,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,12-Mar-12,1331510400000,36" Rumuekpe - Nkpoku Trunkline at Mbodo-Aluu,13-Mar-12,1331596800000,Land,Sabotage / Theft,52.8,Recovery of spilled volume was completed on 13th March 2012. Initial cleanup of residual impacted area commenced on 23rd April 2012 and was completed on 5th May 2012. Site remediation was completed 7th July 2012.,Site Certification was completed on 29th August 2012.,http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_Photos.pdf,<a target="_blank" href="http://s06.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/787833_36in_Rumuekpe-Nkpoku_pipeline_at_Mbodo-Aluu_JIV.pdf">PDF</a>
4,shell_ng_spill_crawler,shell_ng_spill_crawler,4,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,13-Mar-12,1331596800000,8" Nkali pipeline at Odagwa,15-Mar-12,1331769600000,Land,Sabotage / Theft,0.67,Recovery of spilled volume was completed on 15th March 2012. Initial cleanup of residual impacted area commenced on 3rd April 2012 and was completed on 23rd April 2012. Remediation was completed on 17th August 2012.,Site certification was completed on 15th October 2012.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8in_Nkali_pipeline_at_Odagwa_Photos.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8in_Nkali_pipeline_at_Odagwa_Photos.pdf">PDF</a>,http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8inch_Nkali_pipeline_at_Odagwa_JIV_Report.pdf,<a target="_blank" href="http://s00.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788449_8inch_Nkali_pipeline_at_Odagwa_JIV_Report.pdf">PDF</a>
5,shell_ng_spill_crawler,shell_ng_spill_crawler,5,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,13-Mar-12,1331596800000,16" Nun-River - Kolo Creek Trunkline at Oporoma,20-Mar-12,1332201600000,Swamp,Sabotage / Theft,344.8,Recovery of spilled volume commenced on 20th March 2012. Initial Cleanup of residual impacted area was completed on 15th May 2012.,On 29th April 2012 prior to completion of oil recovery a fire was started at the site by unknown persons. Site certification completed on 13th March 2013. Initial delays due to flooding.,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_Photos.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_Photos.pdf">PDF</a>,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_JIV.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/788815_16in_NunRiver-Kolocreek_pipeline_at_Oporoma_JIV.pdf">PDF</a>
6,shell_ng_spill_crawler,shell_ng_spill_crawler,6,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,16-Mar-12,1331856000000,16’’ Nun River-Kolocreek Trunkline at Angiama-Gbeni,17-Mar-12,1331942400000,Swamp,Sabotage / Theft,74,Recovery of spilled volume commenced on 17th March 2012 and was completed on 2nd May 2012. Initial Cleanup of residual impacted area was completed on 17th May 2012.,Site certification was completed on 19th September 2012.,http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_Photos.pdf,<a target="_blank" href="http://s05.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_Photos.pdf">PDF</a>,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_JIV.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789470_16in_NunRiver-Kolocreek_trunkline_at_Angiama-Gbeni_JIV.pdf">PDF</a>
7,shell_ng_spill_crawler,shell_ng_spill_crawler,7,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,16-Mar-12,1331856000000,8" Isimiri - Imo Gate delivery line at Isimiri.,20-Mar-12,1332201600000,Land,Sabotage / Theft,14,Recovery of spilled volume was completed on 20th March 2012. Initial cleanup of residual impacted area commenced on 3rd April 2012 and was completed on 23rd April 2012,Site Certification was completed on 13th August 2012.,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_Photos.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_JIV_Report.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/789675_8in_Isimiri_pipeline_at_Obiakpu_JIV_Report.pdf">PDF</a>
8,shell_ng_spill_crawler,shell_ng_spill_crawler,8,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,22-Mar-12,1332374400000,12" Kokori-Eriemu Delivery line at Oteri/Agbarha.,22-Mar-12,1332374400000,Land,Sabotage / Theft,306.1,Recovery of spilled volume commenced on 22nd March 2012 and was completed 26th March 2012. Initial cleanup of residual impacted area commenced on 9th April 2012 and was completed on 30th April 2012,Site certification was completed on 4th May 2012.,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_Photos.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_Photos.pdf">PDF</a>,http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_JIV.pdf,<a target="_blank" href="http://s02.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/791732_12in_Kokori-Eriemu_deliveryline_at_Oteri_JIV.pdf">PDF</a>
9,shell_ng_spill_crawler,shell_ng_spill_crawler,9,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,23-Mar-12,1332460800000,Utorogu Well 21S,02-Apr-12,1333321200000,Land,Sabotage / Theft,1.3,No recoverable oil was found on site Initial cleanup of residual impacted area commenced on 12th April 2012 and was completed 30th May 2012,Initial cleanup was delayed due to community agitation over the cleanup contract. Issue was subsequently resolved. Site certification was completed on 1st August 2012.,http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_Photos.pdf,<a target="_blank" href="http://s04.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_JIV.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792975_UtoroguWell21S_at_Otor-Udu_JIV.pdf">PDF</a>
10,shell_ng_spill_crawler,shell_ng_spill_crawler,10,http://www.shell.com.ng/environment-society/environment-tpkg/oil-spills/data-2012/march.html,26-Mar-12,1332716400000,24" Bomu - Bonny Pipeline at Mogho,28-Mar-12,1332889200000,Land,Sabotage / Theft,1.3,No recoverable oil was found on site. Initial cleanup of residual impacted area was completed on 28th March 2012. Remediation was completed on 12th September 2012.,Site certification was completed on 10th October 2012.,http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_Photos.pdf,<a target="_blank" href="http://s03.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_Photos.pdf">PDF</a>,http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_JIV.pdf,<a target="_blank" href="http://s08.static-shell.com/content/dam/shell/static/nga/downloads/pdfs/oil-spills/792943_24in_Bomu-Bonny_pipeline_at_Mogho_JIV.pdf">PDF</a>
